...1,Case Number,Offense,Date Reported,Time Reported,Date Occurred,Time Occurred,Location,Disposition,Disposition Date,Location Address,Current_Column,New_Column
38,2024016755,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,19:46:00,12/14/2024,19:46:00,NA,Grant Complex Closed By,12/14/2024,0,Grant Complex,Closed By
39,2024016756,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,21:52:00,12/14/2024,21:52:00,NA,Stevenson Complex Closed By,12/14/2024,0,Stevenson Complex,Closed By
40,2024016757,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,13:15:00,12/14/2024,13:15:00,NA,Neptune North Closed By,12/14/2024,0,Neptune North,Closed By
41,2024016779,"Tamper w/Sec, Fire, or Life Safety",12/14/2024,22:59:00,12/14/2024,22:59:00,NA,Grant Complex Closed By,12/14/2024,0,Grant Complex,Closed By
42,2024016794,Illegal Possession Of Alcohol By Minor,12/14/2024,15:53:00,12/14/2024,15:53:00,NA,Neptune North Closed By,12/14/2024,0,Neptune North,Closed By
43,2024016655,Criminal Trespass To Vehicle,12/15/2024,14:47:00,12/15/2024,14:25:00,NA,Stevenson South Unfounded,12/15/2024,0,Stevenson South,Unfounded
44,2024016742,Illegal Possession Of Alcohol By Minor,12/15/2024,14:35:00,12/15/2024,14:35:00,NA,Patterson Hall East Closed By,12/15/2024,0,Patterson Hall East,Closed By
45,2024016781,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,15:33:00,12/15/2024,15:33:00,NA,Grant Complex Closed By,12/15/2024,0,Grant Complex,Closed By
46,2024016782,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,10:31:00,12/15/2024,10:31:00,NA,Grant Complex Closed By,12/15/2024,0,Grant Complex,Closed By
47,2024016783,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,13:05:00,12/15/2024,13:05:00,NA,Stevenson Complex Closed By,12/15/2024,0,Stevenson Complex,Closed By
48,2024016785,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,12:57:00,12/15/2024,12:57:00,NA,Stevenson South Closed By,12/15/2024,0,Stevenson South,Closed By
49,2024016786,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,15:21:00,12/15/2024,15:21:00,NA,Stevenson Complex Closed By,12/15/2024,0,Stevenson Complex,Closed By
50,2024016792,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,13:04:00,12/15/2024,13:04:00,NA,Neptune West Closed By,12/15/2024,0,Neptune West,Closed By
51,2024016797,Illegal Possession Of Alcohol By Minor,12/15/2024,11:42:00,12/15/2024,11:42:00,NA,Grant Complex Closed By,12/15/2024,0,Grant Complex,Closed By
52,2024016732,"Tamper w/ Sec. Fire, or Life Safety",12/16/2024,13:58:00,12/16/2024,13:58:00,NA,Stevenson Complex Closed By,12/16/2024,0,Stevenson Complex,Closed By
53,2024016789,"Tamper w/ Sec. Fire, or Life Safety",12/16/2024,00:22:00,12/16/2024,00:22:00,NA,Patterson Hall East Closed By,12/16/2024,0,Patterson Hall East,Closed By
54,2024016791,"Tamper w/ Sec. Fire, or Life Safety",12/16/2024,00:30:00,12/16/2024,00:30:00,NA,Patterson Hall East Closed By,12/16/2024,0,Patterson Hall East,Closed By
55,2024016740,Theft $500 and Under,12/17/2024,12:34:00,12/17/2024,11:00:00,NA,Swen Parson Suspended,12/17/2024,0,Swen Parson,Suspended
56,2024016762,Theft Over $500,12/17/2024,08:08:00,12/17/2024,06:30:00,NA,Music Building Suspended,12/17/2024,0,Music Building,Suspended
57,2024016868,Theft $500 and Under,12/19/2024,01:01:00,12/19/2024,01:01:00,NA,Neptune North Open,12/19/2024,0,Neptune North,Open
58,2024015140,Theft $500 and Under,11/15/2024,06:17:00,11/15/2024,06:00:00,NA,Altgeld Hall Suspended,12/24/2024,0,Altgeld Hall,Suspended
