,text,bbox,page
63,Closed By ,"(344.0400085449219, 175.0799102783203, 369.14166259765625, 180.8555450439453)",1
64,Arrest,"(344.0400085449219, 181.43991088867188, 357.86395263671875, 187.21554565429688)",1
65,04/11/2024,"(382.32000732421875, 175.0799102783203, 408.22509765625, 180.8555450439453)",1
66,Suspended,"(344.0400085449219, 204.35992431640625, 370.3744201660156, 210.13555908203125)",1
67,04/11/2024,"(382.32000732421875, 204.35992431640625, 408.22509765625, 210.13555908203125)",1
68,Burglary,"(51.12000274658203, 125.11312866210938, 69.30647277832031, 130.83827209472656)",1
69,Closed By ,"(344.0400085449219, 125.03992462158203, 369.14166259765625, 130.8155517578125)",1
70,Arrest,"(344.0400085449219, 131.39991760253906, 357.86395263671875, 137.17555236816406)",1
71,04/11/2024,"(382.32000732421875, 125.03992462158203, 408.22509765625, 130.8155517578125)",1
72,Mob Action,"(51.12000274658203, 135.07313537597656, 75.9126205444336, 140.79827880859375)",1
73,Suspended,"(344.0400085449219, 141.2399139404297, 370.3744201660156, 147.0155487060547)",1
74,04/11/2024,"(382.32000732421875, 141.2399139404297, 408.22509765625, 147.0155487060547)",1
75,Mob Action,"(51.12000274658203, 147.67312622070312, 75.9126205444336, 153.3982696533203)",1
76,Closed By ,"(344.0400085449219, 92.51992797851562, 369.14166259765625, 98.2955551147461)",1
77,Arrest,"(344.0400085449219, 98.87992095947266, 357.86395263671875, 104.65554809570312)",1
78,04/11/2024,"(382.32000732421875, 92.51992797851562, 408.22509765625, 98.2955551147461)",1
79,Burglary,"(51.12000274658203, 98.953125, 69.30647277832031, 104.67826843261719)",1
80,Criminal Trespass To Real Property,"(51.12000274658203, 109.99313354492188, 125.14138793945312, 115.71827697753906)",1
81,Closed By ,"(344.0400085449219, 109.91992950439453, 369.14166259765625, 115.695556640625)",1
82,Arrest,"(344.0400085449219, 116.27992248535156, 357.86395263671875, 122.05554962158203)",1
83,04/11/2024,"(382.32000732421875, 109.91992950439453, 408.22509765625, 115.695556640625)",1
84,002024003148,"(13.680000305175781, 59.353126525878906, 45.31914138793945, 65.0782699584961)",1
85,Burglary,"(51.12000274658203, 59.233131408691406, 69.30647277832031, 64.9582748413086)",1
86,Closed By ,"(344.0400085449219, 59.15992736816406, 369.14166259765625, 64.93555450439453)",1
87,Arrest,"(344.0400085449219, 65.5199203491211, 357.86395263671875, 71.29554748535156)",1
88,04/11/2024,"(382.32000732421875, 59.15992736816406, 408.22509765625, 64.93555450439453)",1
89,3:20 PM,"(233.40000915527344, 60.31312561035156, 251.562255859375, 66.03826904296875)",1
90,Stevenson North  ,"(262.11297607421875, 60.31312561035156, 298.6522216796875, 66.03826904296875)",1
91,1350   Stevenson Dr N,"(262.08001708984375, 66.79312133789062, 309.168212890625, 72.51826477050781)",1
92,Unlawful Use Of Weapon,"(51.12000274658203, 72.19313049316406, 104.22248840332031, 77.91827392578125)",1
93,Suspended,"(344.0400085449219, 75.83992767333984, 370.3744201660156, 81.61555480957031)",1
94,04/11/2024,"(382.3365478515625, 75.83992767333984, 408.28143310546875, 81.61555480957031)",1
95,Criminal Trespass To Real Property,"(51.12000274658203, 84.79312133789062, 125.14138793945312, 90.51826477050781)",1
96, NIU Department of Police and Public Safety,"(134.27999877929688, 18.398983001708984, 305.70294189453125, 27.532493591308594)",1
97,Daily Crime Log,"(188.75999450683594, 28.47898292541504, 250.85903930664062, 37.61249542236328)",1
98,Calendar Year: 2023 ,"(190.9199981689453, 38.48921585083008, 250.48757934570312, 45.33937454223633)",1
99,Log Entry Date: 4/11/2024,"(182.8800048828125, 46.16921615600586, 256.9070739746094, 53.01937484741211)",1
