...1,Case Number,Offense,Date Reported,Time Reported,Date Occurred,Time Occurred,Location,Disposition,Disposition Date,Location Address,Current_Column,New_Column,Full_Address
41,2024016779,"Tamper w/Sec, Fire, or Life Safety",12/14/24,22:59:00,12/14/24,22:59:00,,Grant Complex Closed By,12/14/24,0,Grant Complex,Closed By,"Closed, 1, Brienner Straße, Kreuzviertel, Altstadt-Lehel, München, Bayern, 80333, Deutschland"
42,2024016794,Illegal Possession Of Alcohol By Minor,12/14/24,15:53:00,12/14/24,15:53:00,,Neptune North Closed By,12/14/24,0,Neptune North,Closed By,"Closed, 1, Brienner Straße, Kreuzviertel, Altstadt-Lehel, München, Bayern, 80333, Deutschland"
43,2024016655,Criminal Trespass To Vehicle,12/15/24,14:47:00,12/15/24,14:25:00,,Stevenson South Unfounded,12/15/24,0,Stevenson South,Unfounded,Address not found
44,2024016742,Illegal Possession Of Alcohol By Minor,12/15/24,14:35:00,12/15/24,14:35:00,,Patterson Hall East Closed By,12/15/24,0,Patterson Hall East,Closed By,"Closed, 1, Brienner Straße, Kreuzviertel, Altstadt-Lehel, München, Bayern, 80333, Deutschland"
45,2024016781,"Tamper w/Sec, Fire, or Life Safety",12/15/24,15:33:00,12/15/24,15:33:00,,Grant Complex Closed By,12/15/24,0,Grant Complex,Closed By,"Closed, 1, Brienner Straße, Kreuzviertel, Altstadt-Lehel, München, Bayern, 80333, Deutschland"
46,2024016782,"Tamper w/Sec, Fire, or Life Safety",12/15/24,10:31:00,12/15/24,10:31:00,,Grant Complex Closed By,12/15/24,0,Grant Complex,Closed By,"Closed, 1, Brienner Straße, Kreuzviertel, Altstadt-Lehel, München, Bayern, 80333, Deutschland"
47,2024016783,"Tamper w/Sec, Fire, or Life Safety",12/15/24,13:05:00,12/15/24,13:05:00,,Stevenson Complex Closed By,12/15/24,0,Stevenson Complex,Closed By,"Closed, 1, Brienner Straße, Kreuzviertel, Altstadt-Lehel, München, Bayern, 80333, Deutschland"
48,2024016785,"Tamper w/Sec, Fire, or Life Safety",12/15/24,12:57:00,12/15/24,12:57:00,,Stevenson South Closed By,12/15/24,0,Stevenson South,Closed By,"Closed, 1, Brienner Straße, Kreuzviertel, Altstadt-Lehel, München, Bayern, 80333, Deutschland"
49,2024016786,"Tamper w/Sec, Fire, or Life Safety",12/15/24,15:21:00,12/15/24,15:21:00,,Stevenson Complex Closed By,12/15/24,0,Stevenson Complex,Closed By,"Closed, 1, Brienner Straße, Kreuzviertel, Altstadt-Lehel, München, Bayern, 80333, Deutschland"
50,2024016792,"Tamper w/Sec, Fire, or Life Safety",12/15/24,13:04:00,12/15/24,13:04:00,,Neptune West Closed By,12/15/24,0,Neptune West,Closed By,"Closed, 1, Brienner Straße, Kreuzviertel, Altstadt-Lehel, München, Bayern, 80333, Deutschland"
51,2024016797,Illegal Possession Of Alcohol By Minor,12/15/24,11:42:00,12/15/24,11:42:00,,Grant Complex Closed By,12/15/24,0,Grant Complex,Closed By,"Closed, 1, Brienner Straße, Kreuzviertel, Altstadt-Lehel, München, Bayern, 80333, Deutschland"
52,2024016732,"Tamper w/ Sec. Fire, or Life Safety",12/16/24,13:58:00,12/16/24,13:58:00,,Stevenson Complex Closed By,12/16/24,0,Stevenson Complex,Closed By,"Closed, 1, Brienner Straße, Kreuzviertel, Altstadt-Lehel, München, Bayern, 80333, Deutschland"
53,2024016789,"Tamper w/ Sec. Fire, or Life Safety",12/16/24,0:22:00,12/16/24,0:22:00,,Patterson Hall East Closed By,12/16/24,0,Patterson Hall East,Closed By,"Closed, 1, Brienner Straße, Kreuzviertel, Altstadt-Lehel, München, Bayern, 80333, Deutschland"
54,2024016791,"Tamper w/ Sec. Fire, or Life Safety",12/16/24,0:30:00,12/16/24,0:30:00,,Patterson Hall East Closed By,12/16/24,0,Patterson Hall East,Closed By,"Closed, 1, Brienner Straße, Kreuzviertel, Altstadt-Lehel, München, Bayern, 80333, Deutschland"
55,2024016740,Theft $500 and Under,12/17/24,12:34:00,12/17/24,11:00:00,,Swen Parson Suspended,12/17/24,0,Swen Parson,Suspended,"Suspended, Museum Road, West Cornwall, Town of Cornwall, Orange County, New York, 12518, United States"
56,2024016762,Theft Over $500,12/17/24,8:08:00,12/17/24,6:30:00,,Music Building Suspended,12/17/24,0,Music Building,Suspended,"Suspended, Museum Road, West Cornwall, Town of Cornwall, Orange County, New York, 12518, United States"
57,2024016868,Theft $500 and Under,12/19/24,1:01:00,12/19/24,1:01:00,,Neptune North Open,12/19/24,0,Neptune North,Open,"Opin, gmina Orneta, powiat lidzbarski, województwo warmińsko-mazurskie, 11-130, Polska"
58,2024015140,Theft $500 and Under,11/15/24,6:17:00,11/15/24,6:00:00,,Altgeld Hall Suspended,12/24/24,0,Altgeld Hall,Suspended,"Suspended, Museum Road, West Cornwall, Town of Cornwall, Orange County, New York, 12518, United States"
