...1,Case Number,Offense,Date Reported,Time Reported,Date Occurred,Time Occurred,Location,Disposition,Disposition Date,Location Address,Current_Column,New_Column,Full_Address
48,2024016785,"Tamper w/Sec, Fire, or Life Safety",12/15/24,12:57:00,12/15/24,12:57:00,,Stevenson South Closed By,12/15/24,0,Stevenson South,Closed By,"420 Stadium Dr W, DeKalb, IL 60115, USA"
49,2024016786,"Tamper w/Sec, Fire, or Life Safety",12/15/24,15:21:00,12/15/24,15:21:00,,Stevenson Complex Closed By,12/15/24,0,Stevenson Complex,Closed By,"1350 Stevenson Dr N, DeKalb, IL 60115, USA"
50,2024016792,"Tamper w/Sec, Fire, or Life Safety",12/15/24,13:04:00,12/15/24,13:04:00,,Neptune West Closed By,12/15/24,0,Neptune West,Closed By,"800 Lucinda Ave, DeKalb, IL 60115, USA"
51,2024016797,Illegal Possession Of Alcohol By Minor,12/15/24,11:42:00,12/15/24,11:42:00,,Grant Complex Closed By,12/15/24,0,Grant Complex,Closed By,"1250 Grant Dr N, DeKalb, IL 60115, USA"
52,2024016732,"Tamper w/ Sec. Fire, or Life Safety",12/16/24,13:58:00,12/16/24,13:58:00,,Stevenson Complex Closed By,12/16/24,0,Stevenson Complex,Closed By,"1350 Stevenson Dr N, DeKalb, IL 60115, USA"
53,2024016789,"Tamper w/ Sec. Fire, or Life Safety",12/16/24,0:22:00,12/16/24,0:22:00,,Patterson Hall East Closed By,12/16/24,0,Patterson Hall East,Closed By,"501 N Annie Glidden Rd, DeKalb, IL 60115, USA"
54,2024016791,"Tamper w/ Sec. Fire, or Life Safety",12/16/24,0:30:00,12/16/24,0:30:00,,Patterson Hall East Closed By,12/16/24,0,Patterson Hall East,Closed By,"501 N Annie Glidden Rd, DeKalb, IL 60115, USA"
55,2024016740,Theft $500 and Under,12/17/24,12:34:00,12/17/24,11:00:00,,Swen Parson Suspended,12/17/24,0,Swen Parson,Suspended,"230 Normal Rd, DeKalb, IL 60115, USA"
56,2024016762,Theft Over $500,12/17/24,8:08:00,12/17/24,6:30:00,,Music Building Suspended,12/17/24,0,Music Building,Suspended,"550 Lucinda Ave, DeKalb, IL 60115, USA"
57,2024016868,Theft $500 and Under,12/19/24,1:01:00,12/19/24,1:01:00,,Neptune North Open,12/19/24,0,Neptune North,Open,"750 Lucinda Ave, DeKalb, IL 60115, USA"
58,2024015140,Theft $500 and Under,11/15/24,6:17:00,11/15/24,6:00:00,,Altgeld Hall Suspended,12/24/24,0,Altgeld Hall,Suspended,"Altgeld Hall, 1409 W Green St, Urbana, IL 61801, USA"
