,Case Number,Offense,Date Reported,Time Reported,Date Occurred,Time Occurred,Location,Disposition,Disposition Date,Location Address
45,2024016781,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,3:33 PM,12/15/2024,3:33 PM,,Grant Complex Closed By,12/15/2024,0
46,2024016782,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,10:31 AM,12/15/2024,10:31 AM,,Grant Complex Closed By,12/15/2024,0
47,2024016783,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,1:05 PM,12/15/2024,1:05 PM,,Stevenson Complex Closed By,12/15/2024,0
48,2024016785,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,12:57 PM,12/15/2024,12:57 PM,,Stevenson South Closed By,12/15/2024,0
49,2024016786,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,3:21 PM,12/15/2024,3:21 PM,,Stevenson Complex Closed By,12/15/2024,0
50,2024016792,"Tamper w/Sec, Fire, or Life Safety",12/15/2024,1:04 PM,12/15/2024,1:04 PM,,Neptune West Closed By,12/15/2024,0
51,2024016797,Illegal Possession Of Alcohol By Minor,12/15/2024,11:42 AM,12/15/2024,11:42 AM,,Grant Complex Closed By,12/15/2024,0
52,2024016732,"Tamper w/ Sec. Fire, or Life Safety",12/16/2024,1:58 PM,12/16/2024,1:58 PM,,Stevenson Complex Closed By,12/16/2024,0
53,2024016789,"Tamper w/ Sec. Fire, or Life Safety",12/16/2024,12:22 AM,12/16/2024,12:22 AM,,Patterson Hall East Closed By,12/16/2024,0
54,2024016791,"Tamper w/ Sec. Fire, or Life Safety",12/16/2024,12:30 AM,12/16/2024,12:30 AM,,Patterson Hall East Closed By,12/16/2024,0
55,2024016740,Theft $500 and Under,12/17/2024,12:34,12/17/2024,11:00,,am Swen Parson Suspended,12/17/2024,0
56,2024016762,Theft Over $500,12/17/2024,8:08,12/17/2024,6:30,,pm Music Building Suspended,12/17/2024,0
57,2024016868,Theft $500 and Under,12/19/2024,1:01,12/19/2024,1:01,,pm Neptune North Open,12/19/2024,0
58,2024015140,Theft $500 and Under,11/15/2024,6:17,11/15/2024,6:00,,pm Altgeld Hall Suspended,12/24/2024,0
